St	Category	4/80cen	7/81	7/82	7/83	7/84	7/85	7/86	7/87	7/88	7/89
AR	CHANGE	6766	1056	11504	14007	7278	4938	10371	301	3702	4367
AR	%CHANGE	0.3	0.05	0.5	0.61	0.31	0.21	0.44	0.01	0.16	0.19
AR	BIRTHS	45498	35716	35346	34494	35179	34888	34508	34554	35127	27457
AR	DEATHS	28150	22304	22776	23465	24016	24049	24133	24902	24867	18860
AR	RESIDUAL	-10581	-12356	-1066	2978	-3885	-5900	-3	-9351	-6557	-4230
CA	POPULATION	23667902	24285933	24820009	25360026	25844393	26441109	27102237	27777158	28464249	29218164
CA	CHANGE	618031	534077	540016	484367	596716	661128	674921	687092	753914	541857
CA	%CHANGE	2.61	2.2	2.18	1.91	2.31	2.5	2.49	2.47	2.65	1.85
CA	BIRTHS	509049	426585	435563	437368	461530	477700	492979	517284	548949	434935
CA	DEATHS	231877	186159	188713	192680	199844	202530	205790	214564	216756	165349
CA	RESIDUAL	340858	293650	293166	239679	335029	385958	387731	384371	421721	272271
CO	POPULATION	2889964	2977898	3061564	3133630	3169992	3208723	3237450	3260480	3262281	3275818
CO	CHANGE	87934	83665	72066	36362	38731	28727	23030	1801	13537	18576
CO	%CHANGE	3.04	2.81	2.35	1.16	1.22	0.9	0.71	0.06	0.41	0.57
CO	BIRTHS	62944	53636	55075	53968	55054	55317	54512	53481	52782	40309
CO	DEATHS	23842	19464	19643	20040	20421	20524	20894	21434	21306	16139
CO	RESIDUAL	48832	49493	36633	2434	4097	-6065	-10587	-30246	-17938	-5594
CT	POPULATION	3107576	3128836	3139013	3162354	3180014	3201131	3223740	3247291	3271953	3283403
CT	CHANGE	21260	10176	23341	17660	21117	22610	23550	24662	11450	3713
CT	%CHANGE	0.68	0.33	0.74	0.56	0.66	0.71	0.73	0.76	0.35	0.11
CT	BIRTHS	48755	40465	41119	41222	43306	44550	45861	47355	48560	37771
CT	DEATHS	33577	26512	27029	27583	28079	28061	28095	28710	28478	21555
CT	RESIDUAL	6082	-3776	9251	4020	5890	6120	5784	6016	-8631	-12502
DE	POPULATION	594338	595975	599148	605458	611565	618280	627559	636947	647622	658273
DE	CHANGE	1637	3173	6310	6106	6715	9279	9388	10674	10651	7895
DE	%CHANGE	0.28	0.53	1.05	1.01	1.1	1.5	1.5	1.68	1.64	1.2
